step,mmd,c3
3.000000000000000000e+01,2.615607760603950283e+00,2.615607760603950283e+00
3.100000000000000000e+01,2.477822669053197924e+00,2.477822669053197924e+00
3.200000000000000000e+01,2.454272217081632235e+00,2.454272217081632235e+00
3.300000000000000000e+01,2.356662790174797184e+00,2.356662790174797184e+00
3.400000000000000000e+01,2.530145180602393129e+00,2.530145180602393129e+00
3.500000000000000000e+01,2.423106984399641117e+00,2.423106984399641117e+00
3.600000000000000000e+01,2.502538909118790844e+00,2.502538909118790844e+00
3.700000000000000000e+01,2.405623838034200546e+00,2.405623838034200546e+00
3.800000000000000000e+01,2.388726354236031746e+00,2.388726354236031746e+00
3.900000000000000000e+01,2.315017489211882218e+00,2.315017489211882218e+00
4.000000000000000000e+01,2.388911686988001826e+00,2.388911686988001826e+00
4.100000000000000000e+01,2.318384060631663690e+00,2.318384060631663690e+00
4.200000000000000000e+01,2.542670032674276381e+00,2.542670032674276381e+00
4.300000000000000000e+01,2.443378917714501330e+00,2.443378917714501330e+00
4.400000000000000000e+01,2.424618664751688524e+00,2.424618664751688524e+00
4.500000000000000000e+01,2.347696920420260458e+00,2.347696920420260458e+00
4.600000000000000000e+01,2.725757982514708022e+00,2.725757982514708022e+00
4.700000000000000000e+01,2.611417875419904888e+00,2.611417875419904888e+00
4.800000000000000000e+01,2.853635807250482603e+00,2.853635807250482603e+00
4.900000000000000000e+01,2.684250233373234984e+00,2.684250233373234984e+00
5.000000000000000000e+01,2.610016016475761091e+00,2.610016016475761091e+00
5.100000000000000000e+01,2.519155909142476890e+00,2.519155909142476890e+00
5.200000000000000000e+01,2.449239529035344365e+00,2.449239529035344365e+00
5.300000000000000000e+01,2.354065389884661297e+00,2.414433966223180406e+00
5.400000000000000000e+01,2.419610483417598878e+00,2.419610483417598878e+00
5.500000000000000000e+01,2.361545665982383913e+00,2.366314905703033045e+00
5.600000000000000000e+01,2.318462521994461234e+00,2.318462521994461234e+00
5.700000000000000000e+01,2.295509156156096076e+00,2.317919777417613236e+00
5.800000000000000000e+01,2.261394566076166512e+00,2.312039619339095076e+00
5.900000000000000000e+01,2.285721333830866620e+00,2.317366623046040797e+00
6.000000000000000000e+01,2.519497088032240484e+00,2.519497088032240484e+00
6.100000000000000000e+01,2.455736183008516704e+00,2.455736183008516704e+00
6.200000000000000000e+01,2.519716894171186716e+00,2.519716894171186716e+00
6.300000000000000000e+01,2.457800896524980683e+00,2.457800896524980683e+00
6.400000000000000000e+01,2.457281669629619358e+00,2.457281669629619358e+00
6.500000000000000000e+01,2.403936859540998228e+00,2.403936859540998228e+00
6.600000000000000000e+01,2.529394814566821470e+00,2.529394814566821470e+00
6.700000000000000000e+01,2.469851180640050270e+00,2.469851180640050270e+00
6.800000000000000000e+01,2.598083567090415880e+00,2.598083567090415880e+00
6.900000000000000000e+01,2.532582639881934217e+00,2.532582639881934217e+00
7.000000000000000000e+01,2.549517013222524664e+00,2.549517013222524664e+00
7.100000000000000000e+01,2.490984172164799837e+00,2.490984172164799837e+00
7.200000000000000000e+01,2.672358166285091485e+00,2.672358166285091485e+00
7.300000000000000000e+01,2.566979516420242469e+00,2.566979516420242469e+00
7.400000000000000000e+01,2.504421853106370666e+00,2.504421853106370666e+00
7.500000000000000000e+01,2.478142601840706671e+00,2.478142601840706671e+00
7.600000000000000000e+01,2.420993920527259036e+00,2.420993920527259036e+00
7.700000000000000000e+01,2.372227242328689201e+00,2.420054211740795491e+00
7.800000000000000000e+01,2.321278340446212951e+00,2.398352266782759479e+00
7.900000000000000000e+01,2.366936007897344929e+00,2.392904202271661340e+00
8.000000000000000000e+01,2.322634611016092254e+00,2.369937189292312230e+00
8.100000000000000000e+01,2.234933401318480506e+00,2.369117887611258855e+00
8.200000000000000000e+01,2.297517121642174143e+00,2.371455972926212574e+00
8.300000000000000000e+01,2.202027578687551390e+00,2.436981014086145425e+00
8.400000000000000000e+01,2.451041611572298606e+00,2.486019056004154848e+00
8.500000000000000000e+01,2.564881825796289760e+00,2.564881825796289760e+00
8.600000000000000000e+01,2.572333786121203225e+00,2.572333786121203225e+00
8.700000000000000000e+01,2.521926987691353261e+00,2.521926987691353261e+00
8.800000000000000000e+01,2.591259413380994747e+00,2.591259413380994747e+00
8.900000000000000000e+01,2.530037703637746382e+00,2.530037703637746382e+00
9.000000000000000000e+01,2.506838724944718599e+00,2.506838724944718599e+00
9.100000000000000000e+01,2.454409449834707768e+00,2.454409449834707768e+00
9.200000000000000000e+01,2.539467048436882202e+00,2.539467048436882202e+00
9.300000000000000000e+01,2.494867692144361104e+00,2.494867692144361104e+00
9.400000000000000000e+01,2.551488487788082349e+00,2.551488487788082349e+00
9.500000000000000000e+01,2.506808679936695317e+00,2.506808679936695317e+00
9.600000000000000000e+01,2.661568680167137657e+00,2.661568680167137657e+00
9.700000000000000000e+01,2.585484667867334441e+00,2.585484667867334441e+00
9.800000000000000000e+01,2.562897871448087006e+00,2.562897871448087006e+00
9.900000000000000000e+01,2.537779029211295612e+00,2.537779029211295612e+00
1.000000000000000000e+02,2.474993479112166384e+00,2.474993479112166384e+00
1.010000000000000000e+02,2.473288833891828187e+00,2.473288833891828187e+00
1.020000000000000000e+02,2.610083331652854888e+00,2.610083331652854888e+00
1.030000000000000000e+02,2.561568250534589808e+00,2.561568250534589808e+00
1.040000000000000000e+02,2.530409123482534550e+00,2.530409123482534550e+00
1.050000000000000000e+02,2.488848328241600516e+00,2.488848328241600516e+00
1.060000000000000000e+02,2.663796202743837771e+00,2.663796202743837771e+00
1.070000000000000000e+02,2.615337363335011656e+00,2.615337363335011656e+00
1.080000000000000000e+02,2.617213094994429223e+00,2.617213094994429223e+00
1.090000000000000000e+02,2.573184330617245053e+00,2.573184330617245053e+00
1.100000000000000000e+02,2.664842571293632112e+00,2.664842571293632112e+00
1.110000000000000000e+02,2.617965576831557506e+00,2.617965576831557506e+00
1.120000000000000000e+02,2.702051648167369979e+00,2.702051648167369979e+00
1.130000000000000000e+02,2.653098257774533231e+00,2.653098257774533231e+00
1.140000000000000000e+02,2.650974658136970419e+00,2.650974658136970419e+00
1.150000000000000000e+02,2.606682006755251191e+00,2.606682006755251191e+00
1.160000000000000000e+02,2.584168279556011694e+00,2.584168279556011694e+00
1.170000000000000000e+02,2.545317217854363712e+00,2.545317217854363712e+00
1.180000000000000000e+02,2.531351940487407859e+00,2.531351940487407859e+00
1.190000000000000000e+02,2.496613894950834744e+00,2.496613894950834744e+00
1.200000000000000000e+02,2.476258664896984207e+00,2.476258664896984207e+00
1.210000000000000000e+02,2.445485577993134374e+00,2.474004055840549388e+00
1.220000000000000000e+02,2.555002424541465089e+00,2.555002424541465089e+00
1.230000000000000000e+02,2.519853873819567269e+00,2.519853873819567269e+00
1.240000000000000000e+02,2.586480001772604620e+00,2.586480001772604620e+00
1.250000000000000000e+02,2.549864401665947078e+00,2.549864401665947078e+00
1.260000000000000000e+02,2.729543235643546062e+00,2.729543235643546062e+00
1.270000000000000000e+02,2.683805579114462603e+00,2.683805579114462603e+00
