step,t1,t2,t3
5.0,79.54542460928353,-0.5695214286468857,-0.5039526306789642
6.0,14.286677532917784,-1.0262632355726262,-0.12817298005740962
7.0,7.942421730602518,-1.2598712296114623,4.382615323430833
8.0,12.212077005956564,-2.5154519742205994,0.0460631183111477
9.0,4.158409911195746,-3.6326140748837554,-1.4991590344100192
10.0,7.227119387724161,-4.968376654881004,-2.5694899081491647
11.0,7.8499389724875765,-2.8797159110737045,-2.500134181800636
12.0,6.9807548733441935,-3.2392075302179064,-3.2884182502165866
13.0,6.180982117880873,-4.111024443105466,-2.351316720989438
14.0,6.709848616166114,-4.353261520330322,-2.7243666894864758
15.0,7.924112393557468,-3.7547177485796994,-3.8324858433734486
16.0,7.09040490843358,-3.957134915795684,-3.609462969988772
17.0,7.495433012093683,-4.608375126624162,-4.457995462383256
18.0,5.679324709890397,-3.522774840678346,-3.741440505673528
19.0,6.497421052408398,-4.411032844287527,-3.8727665664304722
20.0,7.6473292468649285,-4.394058657560462,-4.523370333760414
21.0,7.029679295737767,-4.502588018840567,-4.0962940392844835
22.0,7.018091098838922,-4.474961674281523,-4.741911763302814
23.0,7.77377396163354,-5.150912028070854,-5.260776131480513
24.0,8.457129543819871,-5.800974981624791,-5.69106966107124
25.0,7.579476427966239,-5.54600046722096,-3.5045034506116806
26.0,5.910052403235954,-4.626660625440879,-2.2988613937373663
27.0,5.7360768630360175,-4.657424025323688,-2.70097760705585
