"unit","fre_uni","fre_biv","md"
1,0,0,0.961115456690042
2,0,0,1.47802761054666
3,0,0,4.40710324341218
4,0,0,2.60833658430188
5,0,0,5.78533321906718
6,0,0,2.72858646493475
7,0,0,2.98235883561114
8,0,0,3.10310353526577
9,0,0,3.62014663979988
10,0,0,1.74942481636257
11,0,0,2.14188644091001
12,0,0,1.21603483642763
13,0,0,1.30104221936033
14,0,0,5.22644453513455
15,0,0,3.05633887469985
16,0,1,6.08449499920289
17,0,0,4.49672892676238
18,0,0,1.65017764090188
19,0,0,1.92283023444902
20,0,0,4.87539115139302
21,0,0,4.64700278949892
22,0,0,1.94744886686941
23,0,0,4.41455053508423
24,0,0,2.9646998374742
25,0,0,4.63904698050744
26,0,0,2.77381357143353
27,0,0,4.4654326801926
28,0,0,4.19854338421624
29,0,0,2.43297576917273
30,0,0,4.72946000132638
31,0,0,4.33774847355027
32,0,0,2.10568179001794
33,0,0,5.12291155518819
34,0,0,2.96917208435505
35,0,0,2.90680869361743
36,0,0,2.49259422755809
37,0,0,4.28841163963317
38,3,3,25.6669700410821
39,3,3,27.4532633376937
40,3,3,29.5462350869922
